tool	community	known	dom	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
SingleM	sample4	0	10	kingdom	0.00711246200607902	1	1	0	0	1	0.014224924012158	1					2
SingleM	sample4	0	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	10	10	kingdom	0.00725828540125991	1	0.666666666666667	0	1	0.5	0.0145165708025198	0.5					1
SingleM	sample4	10	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	50	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	50	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	70	10	kingdom	0.00434148880791255	1	1	0	0	1	0.00868297761582511	1					2
SingleM	sample4	70	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	100	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	100	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample5	0	10	kingdom	0.00106351638653246	1	1	0	0	1	0.00212703277306493	1					2
SingleM	sample5	0	50	kingdom	0.0107539740264222	1	1	0	0	1	0.0215079480528444	1					2
SingleM	sample5	10	10	kingdom	0.000963928919088542	1	1	0	0	1	0.00192785783817708	1					2
SingleM	sample5	10	50	kingdom	0.00115701156283879	1	0.666666666666667	0	1	0.5	0.00231402312567759	0.5					1
SingleM	sample5	50	10	kingdom	0.000297145527407802	1	1	0	0	1	0.000594291054815605	1					2
SingleM	sample5	50	50	kingdom	0.000374557072670181	1	1	0	0	1	0.000749114145340362	1					2
SingleM	sample5	70	10	kingdom	0.00378029313597449	1	0.666666666666667	0	1	0.5	0.00756058627194898	0.5					1
SingleM	sample5	70	50	kingdom	0.000344883253349767	1	0.666666666666667	0	1	0.5	0.000689766506699534	0.5					1
SingleM	sample5	100	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample5	100	50	kingdom	0.000227746921743226	1	0.666666666666667	0	1	0.5	0.000455493843486452	0.5					1
SingleM dev	sample4	0	10	kingdom	0.00552658118426737	1	1	0	0	1	0.0110531623685347	1					2
SingleM dev	sample4	0	50	kingdom	0.00617453347969262	1	0.666666666666667	0	1	0.5	0.0123490669593852	0.5					1
SingleM dev	sample4	10	10	kingdom	0.00731528895391366	1	0.666666666666667	0	1	0.5	0.0146305779078273	0.5					1
SingleM dev	sample4	10	50	kingdom	0.00317197627913396	1	0.666666666666667	0	1	0.5	0.00634395255826793	0.5					1
SingleM dev	sample4	50	10	kingdom	0.00409062303335432	1	0.666666666666667	0	1	0.5	0.00818124606670863	0.5					1
SingleM dev	sample4	50	50	kingdom	0.00583629893238429	1	0.666666666666667	0	1	0.5	0.0116725978647686	0.5					1
SingleM dev	sample4	70	10	kingdom	0.00501694915254242	1	1	0	0	1	0.0100338983050848	1					2
SingleM dev	sample4	70	50	kingdom	0.00449275362318842	1	0.666666666666667	0	1	0.5	0.00898550724637684	0.5					1
SingleM dev	sample4	100	10	kingdom	0.00233196159122086	1	0.666666666666667	0	1	0.5	0.00466392318244173	0.5					1
SingleM dev	sample4	100	50	kingdom	0.00293137908061295	1	0.666666666666667	0	1	0.5	0.0058627581612259	0.5					1
SingleM dev	sample5	0	10	kingdom	0.0272638987896912	1	1	0	0	1	0.0545277975793823	1					2
SingleM dev	sample5	0	50	kingdom	0.00533959486567216	1	1	0	0	1	0.0106791897313443	1					2
SingleM dev	sample5	10	10	kingdom	0.0041228999287679	1	1	0	0	1	0.00824579985753581	1					2
SingleM dev	sample5	10	50	kingdom	0.00485157110652297	1	0.666666666666667	0	1	0.5	0.00970314221304595	0.5					1
SingleM dev	sample5	50	10	kingdom	0.0198619872376544	1	1	0	0	1	0.0397239744753087	1					2
SingleM dev	sample5	50	50	kingdom	0.0329428033396173	1	1	0	0	1	0.0658856066792345	1					2
SingleM dev	sample5	70	10	kingdom	0.00460133523408934	1	0.666666666666667	0	1	0.5	0.00920267046817868	0.5					1
SingleM dev	sample5	70	50	kingdom	0.00369648288232084	1	0.666666666666667	0	1	0.5	0.00739296576464168	0.5					1
SingleM dev	sample5	100	10	kingdom	0.0108632741195851	1	0.666666666666667	0	1	0.5	0.0217265482391701	0.5					1
SingleM dev	sample5	100	50	kingdom	0.000840927636619582	1	0.666666666666667	0	1	0.5	0.00168185527323916	0.5					1
SingleM joint	sample4	0	10	kingdom	0.0109821231516222	1	1	0	0	1	0.0219642463032443	1					2
SingleM joint	sample4	0	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	10	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	10	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	50	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	50	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	70	10	kingdom	0.00589168870945287	1	1	0	0	1	0.0117833774189057	1					2
SingleM joint	sample4	70	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	100	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	100	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample5	0	10	kingdom	0.000365710942071359	0.5	0.666666666666667	1	0	0.5	0.000731421884142718	1					1
SingleM joint	sample5	0	50	kingdom	0.0397656294215757	1	1	0	0	1	0.0795312588431515	1					2
SingleM joint	sample5	10	10	kingdom	8.51706221945682e-05	1	1	0	0	1	0.000170341244389136	1					2
SingleM joint	sample5	10	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample5	50	10	kingdom	9.94965862720824e-05	1	1	0	0	1	0.000198993172544165	1					2
SingleM joint	sample5	50	50	kingdom	0.00219588548149066	1	1	0	0	1	0.00439177096298131	1					2
SingleM joint	sample5	70	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample5	70	50	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample5	100	10	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample5	100	50	kingdom	0	1	1	0	0	1	0	1					1
