tool	community	skew	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives
SingleM	sample0	high_skew	kingdom	0.000666400010884445	1	1	0	0	1	0.00133280002176889	1					2
SingleM	sample0	low_skew	kingdom	0.00231594402958632	1	1	0	0	1	0.00463188805917264	1					2
SingleM	sample4	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample4	low_skew	kingdom	0.00778809393773896	1	1	0	0	1	0.0155761878754779	1					2
SingleM	sample5	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample5	low_skew	kingdom	0.00715572566582985	1	0.666666666666667	0	1	0.5	0.0143114513316597	0.5					1
SingleM dev	sample0	high_skew	kingdom	0.0144139773356561	1	1	0	0	1	0.0288279546713122	1					2
SingleM dev	sample0	low_skew	kingdom	0.000256103445400148	1	1	0	0	1	0.000512206890800295	1					2
SingleM dev	sample4	high_skew	kingdom	0.00459176352417846	1	0.666666666666667	0	1	0.5	0.00918352704835692	0.5					1
SingleM dev	sample4	low_skew	kingdom	0.00506560182544208	1	1	0	0	1	0.0101312036508842	1					2
SingleM dev	sample5	high_skew	kingdom	0.00870214699934467	1	0.666666666666667	0	1	0.5	0.0174042939986893	0.5					1
SingleM dev	sample5	low_skew	kingdom	0.0462060255154895	1	0.666666666666667	0	1	0.5	0.0924120510309791	0.5					1
SingleM inject	sample0	high_skew	kingdom	0.000907652830905299	1	1	0	0	1	0.0018153056618106	1					2
SingleM inject	sample0	low_skew	kingdom	0.00231515607464742	1	1	0	0	1	0.00463031214929485	1					2
SingleM inject	sample4	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM inject	sample4	low_skew	kingdom	0.00779461969138336	1	1	0	0	1	0.0155892393827667	1					2
SingleM inject	sample5	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM inject	sample5	low_skew	kingdom	0.00727059640593798	1	0.666666666666667	0	1	0.5	0.014541192811876	0.5					1
SingleM joint	sample0	high_skew	kingdom	0.00364726434352736	1	1	0	0	1	0.00729452868705472	1					2
SingleM joint	sample0	low_skew	kingdom	0.0013199243690649	1	1	0	0	1	0.00263984873812981	1					2
SingleM joint	sample4	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample4	low_skew	kingdom	0.00329740971828326	1	1	0	0	1	0.00659481943656652	1					2
SingleM joint	sample5	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM joint	sample5	low_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM nnls	sample0	high_skew	kingdom	0.0102600824712688	1	1	0	0	1	0.0205201649425377	1					2
SingleM nnls	sample0	low_skew	kingdom	0.00280368227306169	1	1	0	0	1	0.00560736454612337	1					2
SingleM nnls	sample4	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM nnls	sample4	low_skew	kingdom	0.0049704142011834	1	1	0	0	1	0.0099408284023668	1					2
SingleM nnls	sample5	high_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM nnls	sample5	low_skew	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample0	high_skew	kingdom	0.0130655982536074	1	1	0	0	1	0.0261311965072148	1					2
sylph	sample0	low_skew	kingdom	0.00736807869296008	1	1	0	0	1	0.0147361573859202	1					2
sylph	sample4	high_skew	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample4	low_skew	kingdom	0.04	0.5	0.666666666666667	1	0	0.5	0.08	1					1
sylph	sample5	high_skew	kingdom	0	1	1	0	0	1	0	1					1
sylph	sample5	low_skew	kingdom	0	1	1	0	0	1	0	1					1
SingleM	sample0	high_skew	phylum	0.0120729097795678	1	1	0	0	1	0.0239623371795762	1	1.58517702013217	0.618014938782643	0.984802141082011	13	13
SingleM	sample0	low_skew	phylum	0.0269040492862806	0.9375	0.967741935483871	1	0	0.9375	0.0529739849705794	1	1.56349074220359	0.577349246172479	0.968996726362411	15	15
SingleM	sample4	high_skew	phylum	0.0420416197975253	1	1	0	0	1	0.0837535014005601	1	1.7249954649589	0.829547467617385	0.992156862745098	8	8
SingleM	sample4	low_skew	phylum	0.0550060762027307	1	1	0	0	1	0.105062807209175	1	1.99663320851175	0.832660721742722	0.9100218459858	11	11
SingleM	sample5	high_skew	phylum	0.00733266699676287	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.0146352257713079	1	0.825228950951863	0.460569046863973	0.99589396024241	6	6
SingleM	sample5	low_skew	phylum	0.00867090389599704	1	1	0	0	1	0.0171997091361387	1	0.857912476659109	0.440879799653444	0.983612013515567	7	7
SingleM dev	sample0	high_skew	phylum	0.148609885260371	0.538461538461538	0.7	6	0	0.538461538461538	0.258764768033811	1	1.04847949879816	0.538811876441043	0.74123523196619	7	7
SingleM dev	sample0	low_skew	phylum	0.209388659361715	0.4375	0.608695652173913	9	0	0.4375	0.346271908109714	1	0.952306356137732	0.489388657847358	0.653728091890287	7	7
SingleM dev	sample4	high_skew	phylum	0.254206784846576	0.875	0.933333333333333	1	0	0.875	0.405366623618884	1	1.10064235910426	0.565618283885611	0.594633376381117	7	7
SingleM dev	sample4	low_skew	phylum	0.356417448495986	0.818181818181818	0.9	2	0	0.818181818181818	0.525527666856817	1	1.17957343141693	0.536847003981257	0.474472333143183	9	9
SingleM dev	sample5	high_skew	phylum	0.811249099957308	0.428571428571429	0.545454545454545	4	1	0.375	0.89709623094864	0.75	0.342566321402016	0.247109366531132	0.105820926021181	4	3
SingleM dev	sample5	low_skew	phylum	0.0890166442579628	0.714285714285714	0.833333333333333	2	0	0.714285714285714	0.163480778236621	1	0.734348358824913	0.456276289474435	0.836519221763379	5	5
SingleM inject	sample0	high_skew	phylum	0.00926337933209903	1	1	0	0	1	0.0184661182318348	1	1.59432596546769	0.621581849493339	0.99345374617737	13	13
SingleM inject	sample0	low_skew	phylum	0.0264213432190259	0.9375	0.967741935483871	1	0	0.9375	0.0520044991188713	1	1.56444118440378	0.57770021536788	0.96827612766572	15	15
SingleM inject	sample4	high_skew	phylum	0.0419631556743074	1	1	0	0	1	0.0835971424569267	1	1.72502635147341	0.829562320891159	0.992155764112621	8	8
SingleM inject	sample4	low_skew	phylum	0.0655430233382989	1	1	0	0	1	0.126172333743001	1	2.00474207297227	0.836042380880427	0.925030725112659	11	11
SingleM inject	sample5	high_skew	phylum	0.00712601619230099	1	1	0	0	1	0.0142262675306241	1	0.829004075564221	0.426023820250221	0.996384395813511	7	7
SingleM inject	sample5	low_skew	phylum	0.00876825664921085	1	1	0	0	1	0.0173911242004098	1	0.857716141304218	0.440778903240016	0.983418699539891	7	7
SingleM joint	sample0	high_skew	phylum	0.0203598266850895	1	1	0	0	1	0.040719653370179	1	1.61443649625806	0.629422367175244	1	13	13
SingleM joint	sample0	low_skew	phylum	0.0726055631732441	0.8125	0.896551724137931	3	0	0.8125	0.145211126346488	1	1.40836266925323	0.549080107627175	1	13	13
SingleM joint	sample4	high_skew	phylum	0.0394680249009621	1	1	0	0	1	0.0789360498019242	1	1.77157256474002	0.851946317908458	1	8	8
SingleM joint	sample4	low_skew	phylum	0.151937984496124	0.909090909090909	0.952380952380952	1	0	0.909090909090909	0.303875968992248	1	2.07463999688949	0.901004702584884	1	10	10
SingleM joint	sample5	high_skew	phylum	0.00847957923823406	1	1	0	0	1	0.0169591584764681	1	0.83167087014428	0.427394281564354	1	7	7
SingleM joint	sample5	low_skew	phylum	0.0402695170465733	1	1	0	0	1	0.0805390340931466	1	0.793273846902233	0.407662114968333	1	7	7
SingleM nnls	sample0	high_skew	phylum	0.0259328375117296	1	1	0	0	1	0.0518656750234592	1	1.61607111255804	0.630059657067624	1	13	13
SingleM nnls	sample0	low_skew	phylum	0.0768714235494727	0.8125	0.896551724137931	3	0	0.8125	0.153742847098945	1	1.38328596297718	0.539303420924531	1	13	13
SingleM nnls	sample4	high_skew	phylum	0.0461302681992337	1	1	0	0	1	0.0922605363984673	1	1.76901809492287	0.850717877596023	1	8	8
SingleM nnls	sample4	low_skew	phylum	0.153885601577909	0.909090909090909	0.952380952380952	1	0	0.909090909090909	0.307771203155819	1	2.07973170595356	0.903216003734867	1	10	10
SingleM nnls	sample5	high_skew	phylum	0.0120279499297644	1	1	0	0	1	0.0240558998595288	1	0.82153067106359	0.422183250065488	1	7	7
SingleM nnls	sample5	low_skew	phylum	0.0420584329273776	1	1	0	0	1	0.0841168658547551	1	0.784552366214972	0.40318016050014	1	7	7
sylph	sample0	high_skew	phylum	0.027296531503102	1	1	0	0	1	0.054593063006204	1	1.5479466474029	0.603499887005514	1	13	13
sylph	sample0	low_skew	phylum	0.484244107839068	0.5	0.666666666666667	8	0	0.5	0.968488215678137	1	1.13186062242578	0.544309902317055	1	8	8
sylph	sample4	high_skew	phylum	0.107259475218659	1	1	0	0	1	0.214518950437318	1	1.71028649308771	0.822473947359007	1	8	8
sylph	sample4	low_skew	phylum	0.32296461587504	0.545454545454545	0.705882352941176	5	0	0.545454545454545	0.64592923175008	1	1.69483316331845	0.945904398679493	1	6	6
sylph	sample5	high_skew	phylum	0.00974821876844269	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.0194964375368854	1	0.827845265151192	0.462029239621015	1	6	6
sylph	sample5	low_skew	phylum	0.969865418373318	0.428571428571429	0.6	4	0	0.428571428571429	1.93973083674664	1	0.670577533948605	0.61038597589471	1	3	3
SingleM	sample0	high_skew	class	0.0156820063956369	1	1	0	0	1	0.0310492334619788	1	2.00998780438008	0.709437504449435	0.979927356146052	17	17
SingleM	sample0	low_skew	class	0.0300074313810698	0.952380952380952	0.975609756097561	1	0	0.952380952380952	0.0589155148283347	1	2.06858736322437	0.690511425699032	0.963364144040054	20	20
SingleM	sample4	high_skew	class	0.0429214748100197	1	1	0	0	1	0.0854341736694678	1	1.98288420101185	0.902449490809802	0.99047619047619	9	9
