tool,community,rank,metric,value
singlem,marine0,kingdom,Bray-Curtis distance,0.00154494855019397
singlem,marine0,phylum,Bray-Curtis distance,0.0132981704462615
singlem,marine0,class,Bray-Curtis distance,0.0176364765451453
singlem,marine0,order,Bray-Curtis distance,0.0217626174781958
singlem,marine0,family,Bray-Curtis distance,0.0297717650826143
singlem,marine0,genus,Bray-Curtis distance,0.0403110864939185
singlem,marine0,species,Bray-Curtis distance,0.164574593653172
singlem,marine0,phylum,Shannon diversity,1.98661484215252
singlem,marine0,phylum,Shannon equitability,0.558768032776033
singlem,marine0,class,Shannon diversity,2.38752343101606
singlem,marine0,class,Shannon equitability,0.607230242141173
singlem,marine0,order,Shannon diversity,3.27883202403674
singlem,marine0,order,Shannon equitability,0.723388869673926
singlem,marine0,family,Shannon diversity,3.76853719068555
singlem,marine0,family,Shannon equitability,0.751111620889358
singlem,marine0,genus,Shannon diversity,4.26971328185255
singlem,marine0,genus,Shannon equitability,0.764188877728428
singlem,marine0,species,Shannon diversity,4.36983465627124
singlem,marine0,species,Shannon equitability,0.74560553646795
singlem,marine0,kingdom,True positives,2
singlem,marine0,kingdom,False negatives,0
singlem,marine0,kingdom,False positives,0
singlem,marine0,kingdom,Completeness,1
singlem,marine0,kingdom,Purity,1
singlem,marine0,kingdom,F1 score,1
singlem,marine0,kingdom,Jaccard index,1
singlem,marine0,phylum,True positives,35
singlem,marine0,phylum,False negatives,0
singlem,marine0,phylum,False positives,0
singlem,marine0,phylum,Completeness,1
singlem,marine0,phylum,Purity,1
singlem,marine0,phylum,F1 score,1
singlem,marine0,phylum,Jaccard index,1
singlem,marine0,class,True positives,51
singlem,marine0,class,False negatives,0
singlem,marine0,class,False positives,0
singlem,marine0,class,Completeness,1
singlem,marine0,class,Purity,1
singlem,marine0,class,F1 score,1
singlem,marine0,class,Jaccard index,1
singlem,marine0,order,True positives,93
singlem,marine0,order,False negatives,0
singlem,marine0,order,False positives,0
singlem,marine0,order,Completeness,1
singlem,marine0,order,Purity,1
singlem,marine0,order,F1 score,1
singlem,marine0,order,Jaccard index,1
singlem,marine0,family,True positives,151
singlem,marine0,family,False negatives,1
singlem,marine0,family,False positives,0
singlem,marine0,family,Completeness,0.993421052631579
singlem,marine0,family,Purity,1
singlem,marine0,family,F1 score,0.996699669966997
singlem,marine0,family,Jaccard index,0.993421052631579
singlem,marine0,genus,True positives,267
singlem,marine0,genus,False negatives,2
singlem,marine0,genus,False positives,0
singlem,marine0,genus,Completeness,0.992565055762082
singlem,marine0,genus,Purity,1
singlem,marine0,genus,F1 score,0.996268656716418
singlem,marine0,genus,Jaccard index,0.992565055762082
singlem,marine0,species,True positives,332
