tool	community	rank	metric	value	tool2
singlem	marine0	kingdom	Bray-Curtis distance	0.00154494855019397	SingleM
singlem	marine0	phylum	Bray-Curtis distance	0.0132981704462615	SingleM
singlem	marine0	class	Bray-Curtis distance	0.0176364765451453	SingleM
singlem	marine0	order	Bray-Curtis distance	0.0217626174781958	SingleM
singlem	marine0	family	Bray-Curtis distance	0.0297717650826143	SingleM
singlem	marine0	genus	Bray-Curtis distance	0.0403110864939185	SingleM
singlem	marine0	species	Bray-Curtis distance	0.164574593653172	SingleM
metaphlan	marine0	kingdom	Bray-Curtis distance	0.000429367999325772	MetaPhlAn
metaphlan	marine0	phylum	Bray-Curtis distance	0.0535449804335363	MetaPhlAn
metaphlan	marine0	class	Bray-Curtis distance	0.0658889447041676	MetaPhlAn
metaphlan	marine0	order	Bray-Curtis distance	0.0774585649154623	MetaPhlAn
metaphlan	marine0	family	Bray-Curtis distance	0.093318427992122	MetaPhlAn
metaphlan	marine0	genus	Bray-Curtis distance	0.105007045954073	MetaPhlAn
metaphlan	marine0	species	Bray-Curtis distance	0.144855409763738	MetaPhlAn
kraken	marine0	kingdom	Bray-Curtis distance	0.00414272778783587	Kraken2
kraken	marine0	phylum	Bray-Curtis distance	0.146567823890479	Kraken2
kraken	marine0	class	Bray-Curtis distance	0.162481765984611	Kraken2
kraken	marine0	order	Bray-Curtis distance	0.217661970200533	Kraken2
kraken	marine0	family	Bray-Curtis distance	0.236582931940431	Kraken2
kraken	marine0	genus	Bray-Curtis distance	0.226900111916941	Kraken2
kraken	marine0	species	Bray-Curtis distance	0.306479893509212	Kraken2
sourmash	marine0	kingdom	Bray-Curtis distance	0.00231456579406642	sourmash
sourmash	marine0	phylum	Bray-Curtis distance	0.13203388855383	sourmash
sourmash	marine0	class	Bray-Curtis distance	0.147236766464451	sourmash
sourmash	marine0	order	Bray-Curtis distance	0.180389760851346	sourmash
sourmash	marine0	family	Bray-Curtis distance	0.200586963383878	sourmash
sourmash	marine0	genus	Bray-Curtis distance	0.229301721018289	sourmash
sourmash	marine0	species	Bray-Curtis distance	0.328088205764176	sourmash
metabuli	marine0	kingdom	Bray-Curtis distance	0.00390719825557483	Metabuli
metabuli	marine0	phylum	Bray-Curtis distance	0.202989712300865	Metabuli
metabuli	marine0	class	Bray-Curtis distance	0.230199456733886	Metabuli
