tool	community	rank	metric	value
singlem	marine0	kingdom	Bray-Curtis distance	0.00100983249044789
singlem	marine0	phylum	Bray-Curtis distance	0.00742392491875367
singlem	marine0	class	Bray-Curtis distance	0.00935543090333876
singlem	marine0	order	Bray-Curtis distance	0.0188180417956755
singlem	marine0	family	Bray-Curtis distance	0.0254850184683146
singlem	marine0	genus	Bray-Curtis distance	0.0396962199390321
singlem	marine0	species	Bray-Curtis distance	0.149306077207276
singlem	marine0	phylum	Shannon diversity	1.52698226224216
singlem	marine0	phylum	Shannon equitability	0.486998908970932
singlem	marine0	class	Shannon diversity	1.90218745481081
singlem	marine0	class	Shannon equitability	0.530815516111192
singlem	marine0	order	Shannon diversity	3.0220215644115
singlem	marine0	order	Shannon equitability	0.706630230256737
singlem	marine0	family	Shannon diversity	3.4397455462653
singlem	marine0	family	Shannon equitability	0.723610031150944
singlem	marine0	genus	Shannon diversity	3.63142910815751
singlem	marine0	genus	Shannon equitability	0.705475085891794
singlem	marine0	species	Shannon diversity	3.26434568294133
singlem	marine0	species	Shannon equitability	0.622759105611698
singlem	marine0	kingdom	True positives	2
singlem	marine0	kingdom	False negatives	0
singlem	marine0	kingdom	False positives	0
singlem	marine0	kingdom	Completeness	1
singlem	marine0	kingdom	Purity	1
singlem	marine0	kingdom	F1 score	1
singlem	marine0	kingdom	Jaccard index	1
singlem	marine0	phylum	True positives	23
singlem	marine0	phylum	False negatives	0
singlem	marine0	phylum	False positives	0
singlem	marine0	phylum	Completeness	1
singlem	marine0	phylum	Purity	1
singlem	marine0	phylum	F1 score	1
singlem	marine0	phylum	Jaccard index	1
singlem	marine0	class	True positives	36
singlem	marine0	class	False negatives	2
singlem	marine0	class	False positives	0
singlem	marine0	class	Completeness	0.947368421052632
singlem	marine0	class	Purity	1
singlem	marine0	class	F1 score	0.972972972972973
singlem	marine0	class	Jaccard index	0.947368421052632
singlem	marine0	order	True positives	72
singlem	marine0	order	False negatives	6
singlem	marine0	order	False positives	0
singlem	marine0	order	Completeness	0.923076923076923
singlem	marine0	order	Purity	1
singlem	marine0	order	F1 score	0.96
singlem	marine0	order	Jaccard index	0.923076923076923
singlem	marine0	family	True positives	116
singlem	marine0	family	False negatives	13
singlem	marine0	family	False positives	0
singlem	marine0	family	Completeness	0.89922480620155
singlem	marine0	family	Purity	1
singlem	marine0	family	F1 score	0.946938775510204
singlem	marine0	family	Jaccard index	0.89922480620155
singlem	marine0	genus	True positives	171
singlem	marine0	genus	False negatives	41
singlem	marine0	genus	False positives	1
singlem	marine0	genus	Completeness	0.806603773584906
singlem	marine0	genus	Purity	0.994186046511628
singlem	marine0	genus	F1 score	0.890625
singlem	marine0	genus	Jaccard index	0.802816901408451
singlem	marine0	species	True positives	182
singlem	marine0	species	False negatives	114
singlem	marine0	species	False positives	7
singlem	marine0	species	Completeness	0.614864864864865
singlem	marine0	species	Purity	0.962962962962963
singlem	marine0	species	F1 score	0.750515463917526
singlem	marine0	species	Jaccard index	0.600660066006601
singlem	marine0	kingdom	L1 norm error	0.00201966498089577
singlem	marine0	phylum	L1 norm error	0.0148238672892202
singlem	marine0	class	L1 norm error	0.0186536207502896
singlem	marine0	order	L1 norm error	0.0373860578773025
singlem	marine0	family	L1 norm error	0.050309193624003
singlem	marine0	genus	L1 norm error	0.0774592318138176
singlem	marine0	species	L1 norm error	0.253201463297148
singlem	marine0	na	Weighted UniFrac error	0.00294487672450684
singlem	marine0	na	Unweighted UniFrac error	0.349326051075206
singlem	marine0	na	Weighted UniFrac (CAMI)	0.453853099632676
singlem	marine0	na	Unweighted UniFrac (CAMI)	935
singlem	marine0	phylum	Sum of abundances	0.996769559424476
singlem	marine0	class	Sum of abundances	0.993881515776311
singlem	marine0	order	Sum of abundances	0.986713510536149
singlem	marine0	family	Sum of abundances	0.974923146776631
singlem	marine0	genus	Sum of abundances	0.952153751107207
singlem	marine0	species	Sum of abundances	0.739614580154376
singlem	marine0	phylum	Taxon counts	23
singlem	marine0	class	Taxon counts	36
singlem	marine0	order	Taxon counts	72
singlem	marine0	family	Taxon counts	116
singlem	marine0	genus	Taxon counts	172
singlem	marine0	species	Taxon counts	189
metaphlan	marine0	kingdom	Bray-Curtis distance	0.00800191867189096
metaphlan	marine0	phylum	Bray-Curtis distance	0.0194101329941777
metaphlan	marine0	class	Bray-Curtis distance	0.023148598827001
metaphlan	marine0	order	Bray-Curtis distance	0.0524506434675275
metaphlan	marine0	family	Bray-Curtis distance	0.0584215142554654
metaphlan	marine0	genus	Bray-Curtis distance	0.0614179112699253
metaphlan	marine0	species	Bray-Curtis distance	0.0869387664793924
metaphlan	marine0	phylum	Shannon diversity	1.50915552968871
metaphlan	marine0	phylum	Shannon equitability	0.488235135059067
metaphlan	marine0	class	Shannon diversity	1.91042206894535
metaphlan	marine0	class	Shannon equitability	0.529068263295515
metaphlan	marine0	order	Shannon diversity	3.04888881545608
metaphlan	marine0	order	Shannon equitability	0.706171907201579
metaphlan	marine0	family	Shannon diversity	3.46953428574475
metaphlan	marine0	family	Shannon equitability	0.71739703195502
metaphlan	marine0	genus	Shannon diversity	3.75483083512012
metaphlan	marine0	genus	Shannon equitability	0.708683639607354
metaphlan	marine0	species	Shannon diversity	4.22682206935701
metaphlan	marine0	species	Shannon equitability	0.749655230513633
metaphlan	marine0	kingdom	True positives	2
metaphlan	marine0	kingdom	False negatives	0
metaphlan	marine0	kingdom	False positives	0
metaphlan	marine0	kingdom	Completeness	1
metaphlan	marine0	kingdom	Purity	1
metaphlan	marine0	kingdom	F1 score	1
metaphlan	marine0	kingdom	Jaccard index	1
metaphlan	marine0	phylum	True positives	22
metaphlan	marine0	phylum	False negatives	1
metaphlan	marine0	phylum	False positives	0
metaphlan	marine0	phylum	Completeness	0.956521739130435
metaphlan	marine0	phylum	Purity	1
metaphlan	marine0	phylum	F1 score	0.977777777777778
metaphlan	marine0	phylum	Jaccard index	0.956521739130435
metaphlan	marine0	class	True positives	37
metaphlan	marine0	class	False negatives	1
metaphlan	marine0	class	False positives	0
metaphlan	marine0	class	Completeness	0.973684210526316
metaphlan	marine0	class	Purity	1
metaphlan	marine0	class	F1 score	0.986666666666667
metaphlan	marine0	class	Jaccard index	0.973684210526316
metaphlan	marine0	order	True positives	75
metaphlan	marine0	order	False negatives	3
metaphlan	marine0	order	False positives	0
metaphlan	marine0	order	Completeness	0.961538461538461
metaphlan	marine0	order	Purity	1
metaphlan	marine0	order	F1 score	0.980392156862745
metaphlan	marine0	order	Jaccard index	0.961538461538461
metaphlan	marine0	family	True positives	126
metaphlan	marine0	family	False negatives	3
metaphlan	marine0	family	False positives	0
metaphlan	marine0	family	Completeness	0.976744186046512
metaphlan	marine0	family	Purity	1
metaphlan	marine0	family	F1 score	0.988235294117647
metaphlan	marine0	family	Jaccard index	0.976744186046512
metaphlan	marine0	genus	True positives	200
metaphlan	marine0	genus	False negatives	12
metaphlan	marine0	genus	False positives	0
metaphlan	marine0	genus	Completeness	0.943396226415094
metaphlan	marine0	genus	Purity	1
metaphlan	marine0	genus	F1 score	0.970873786407767
metaphlan	marine0	genus	Jaccard index	0.943396226415094
metaphlan	marine0	species	True positives	266
metaphlan	marine0	species	False negatives	30
metaphlan	marine0	species	False positives	15
metaphlan	marine0	species	Completeness	0.898648648648649
metaphlan	marine0	species	Purity	0.946619217081851
metaphlan	marine0	species	F1 score	0.922010398613518
metaphlan	marine0	species	Jaccard index	0.855305466237942
metaphlan	marine0	kingdom	L1 norm error	0.0160038373437819
metaphlan	marine0	phylum	L1 norm error	0.0388202659883555
metaphlan	marine0	class	L1 norm error	0.0462971976540019
metaphlan	marine0	order	L1 norm error	0.104901286935055
metaphlan	marine0	family	L1 norm error	0.116793147909531
metaphlan	marine0	genus	L1 norm error	0.122783383598651
metaphlan	marine0	species	L1 norm error	0.169974269670325
metaphlan	marine0	na	Weighted UniFrac error	0.00508116898318414
metaphlan	marine0	na	Unweighted UniFrac error	0.127031459669003
metaphlan	marine0	na	Weighted UniFrac (CAMI)	0.615573389099702
metaphlan	marine0	na	Unweighted UniFrac (CAMI)	318
metaphlan	marine0	phylum	Sum of abundances	1
metaphlan	marine0	class	Sum of abundances	1
metaphlan	marine0	order	Sum of abundances	1
metaphlan	marine0	family	Sum of abundances	1
metaphlan	marine0	genus	Sum of abundances	1
metaphlan	marine0	species	Sum of abundances	0.998862846673826
metaphlan	marine0	phylum	Taxon counts	22
metaphlan	marine0	class	Taxon counts	37
metaphlan	marine0	order	Taxon counts	75
metaphlan	marine0	family	Taxon counts	126
metaphlan	marine0	genus	Taxon counts	200
metaphlan	marine0	species	Taxon counts	281
kraken	marine0	kingdom	Bray-Curtis distance	0.060623532684721
kraken	marine0	phylum	Bray-Curtis distance	0.0847200504643696
kraken	marine0	class	Bray-Curtis distance	0.09377826044682
kraken	marine0	order	Bray-Curtis distance	0.169194606451941
kraken	marine0	family	Bray-Curtis distance	0.175006913317141
kraken	marine0	genus	Bray-Curtis distance	0.178115070323795
kraken	marine0	species	Bray-Curtis distance	0.210738976780518
kraken	marine0	phylum	Shannon diversity	1.33784585720241
kraken	marine0	phylum	Shannon equitability	0.347479108751105
kraken	marine0	class	Shannon diversity	1.74166860938216
kraken	marine0	class	Shannon equitability	0.389992038149424
kraken	marine0	order	Shannon diversity	2.95425986650839
kraken	marine0	order	Shannon equitability	0.583546550185353
kraken	marine0	family	Shannon diversity	3.5278287767007
kraken	marine0	family	Shannon equitability	0.638009588488715
kraken	marine0	genus	Shannon diversity	3.90940683586854
kraken	marine0	genus	Shannon equitability	0.638760924226234
kraken	marine0	species	Shannon diversity	4.76973227000949
kraken	marine0	species	Shannon equitability	0.657195423428227
kraken	marine0	kingdom	True positives	2
kraken	marine0	kingdom	False negatives	0
kraken	marine0	kingdom	False positives	0
kraken	marine0	kingdom	Completeness	1
kraken	marine0	kingdom	Purity	1
kraken	marine0	kingdom	F1 score	1
kraken	marine0	kingdom	Jaccard index	1
kraken	marine0	phylum	True positives	23
kraken	marine0	phylum	False negatives	0
kraken	marine0	phylum	False positives	24
kraken	marine0	phylum	Completeness	1
kraken	marine0	phylum	Purity	0.48936170212766
kraken	marine0	phylum	F1 score	0.657142857142857
kraken	marine0	phylum	Jaccard index	0.48936170212766
kraken	marine0	class	True positives	38
kraken	marine0	class	False negatives	0
kraken	marine0	class	False positives	49
kraken	marine0	class	Completeness	1
kraken	marine0	class	Purity	0.436781609195402
kraken	marine0	class	F1 score	0.608
kraken	marine0	class	Jaccard index	0.436781609195402
kraken	marine0	order	True positives	78
kraken	marine0	order	False negatives	0
kraken	marine0	order	False positives	80
kraken	marine0	order	Completeness	1
kraken	marine0	order	Purity	0.493670886075949
kraken	marine0	order	F1 score	0.661016949152542
kraken	marine0	order	Jaccard index	0.493670886075949
kraken	marine0	family	True positives	129
kraken	marine0	family	False negatives	0
kraken	marine0	family	False positives	123
kraken	marine0	family	Completeness	1
kraken	marine0	family	Purity	0.511904761904762
kraken	marine0	family	F1 score	0.677165354330709
kraken	marine0	family	Jaccard index	0.511904761904762
kraken	marine0	genus	True positives	212
kraken	marine0	genus	False negatives	0
kraken	marine0	genus	False positives	243
kraken	marine0	genus	Completeness	1
kraken	marine0	genus	Purity	0.465934065934066
kraken	marine0	genus	F1 score	0.63568215892054
kraken	marine0	genus	Jaccard index	0.465934065934066
kraken	marine0	species	True positives	294
kraken	marine0	species	False negatives	2
kraken	marine0	species	False positives	1125
kraken	marine0	species	Completeness	0.993243243243243
kraken	marine0	species	Purity	0.207188160676533
kraken	marine0	species	F1 score	0.342857142857143
kraken	marine0	species	Jaccard index	0.206896551724138
kraken	marine0	kingdom	L1 norm error	0.121247065369442
kraken	marine0	phylum	L1 norm error	0.169435017725711
kraken	marine0	class	L1 norm error	0.1875480808502
kraken	marine0	order	L1 norm error	0.338329994791623
kraken	marine0	family	L1 norm error	0.34975065030183
kraken	marine0	genus	L1 norm error	0.35569155534511
kraken	marine0	species	L1 norm error	0.41106543729057
kraken	marine0	na	Weighted UniFrac error	0.0189356576405549
kraken	marine0	na	Unweighted UniFrac error	4.1730078114774
kraken	marine0	na	Weighted UniFrac (CAMI)	1.93343780167445
kraken	marine0	na	Unweighted UniFrac (CAMI)	9903.95398
kraken	marine0	phylum	Sum of abundances	0.999940000000001
kraken	marine0	class	Sum of abundances	0.999910000000001
kraken	marine0	order	Sum of abundances	0.999650000000002
kraken	marine0	family	Sum of abundances	0.999350000000003
kraken	marine0	genus	Sum of abundances	0.997830000000003
kraken	marine0	species	Sum of abundances	0.994350000000009
kraken	marine0	phylum	Taxon counts	47
kraken	marine0	class	Taxon counts	87
kraken	marine0	order	Taxon counts	158
kraken	marine0	family	Taxon counts	252
kraken	marine0	genus	Taxon counts	455
kraken	marine0	species	Taxon counts	1419
sourmash	marine0	kingdom	Bray-Curtis distance	0.0512126466087716
sourmash	marine0	phylum	Bray-Curtis distance	0.0763137826992436
sourmash	marine0	class	Bray-Curtis distance	0.0819856457154149
sourmash	marine0	order	Bray-Curtis distance	0.161173939770494
sourmash	marine0	family	Bray-Curtis distance	0.177918704202117
sourmash	marine0	genus	Bray-Curtis distance	0.201213751154755
sourmash	marine0	species	Bray-Curtis distance	0.236826887686924
sourmash	marine0	phylum	Shannon diversity	1.34470116856804
sourmash	marine0	phylum	Shannon equitability	0.465234676091223
sourmash	marine0	class	Shannon diversity	1.73282390629468
sourmash	marine0	class	Shannon equitability	0.531851615221615
sourmash	marine0	order	Shannon diversity	2.92874668637822
sourmash	marine0	order	Shannon equitability	0.744882138720104
sourmash	marine0	family	Shannon diversity	3.30872520861242
sourmash	marine0	family	Shannon equitability	0.776207762265501
sourmash	marine0	genus	Shannon diversity	3.53895427254809
sourmash	marine0	genus	Shannon equitability	0.773590788396836
sourmash	marine0	species	Shannon diversity	3.78785227351447
sourmash	marine0	species	Shannon equitability	0.793985050717688
sourmash	marine0	kingdom	True positives	2
sourmash	marine0	kingdom	False negatives	0
sourmash	marine0	kingdom	False positives	0
sourmash	marine0	kingdom	Completeness	1
sourmash	marine0	kingdom	Purity	1
sourmash	marine0	kingdom	F1 score	1
sourmash	marine0	kingdom	Jaccard index	1
sourmash	marine0	phylum	True positives	18
sourmash	marine0	phylum	False negatives	5
sourmash	marine0	phylum	False positives	0
sourmash	marine0	phylum	Completeness	0.782608695652174
sourmash	marine0	phylum	Purity	1
sourmash	marine0	phylum	F1 score	0.878048780487805
sourmash	marine0	phylum	Jaccard index	0.782608695652174
sourmash	marine0	class	True positives	26
sourmash	marine0	class	False negatives	12
sourmash	marine0	class	False positives	0
sourmash	marine0	class	Completeness	0.68421052631579
sourmash	marine0	class	Purity	1
sourmash	marine0	class	F1 score	0.8125
sourmash	marine0	class	Jaccard index	0.68421052631579
sourmash	marine0	order	True positives	51
sourmash	marine0	order	False negatives	27
sourmash	marine0	order	False positives	0
sourmash	marine0	order	Completeness	0.653846153846154
sourmash	marine0	order	Purity	1
sourmash	marine0	order	F1 score	0.790697674418605
sourmash	marine0	order	Jaccard index	0.653846153846154
sourmash	marine0	family	True positives	71
sourmash	marine0	family	False negatives	58
sourmash	marine0	family	False positives	0
sourmash	marine0	family	Completeness	0.550387596899225
sourmash	marine0	family	Purity	1
sourmash	marine0	family	F1 score	0.71
sourmash	marine0	family	Jaccard index	0.550387596899225
sourmash	marine0	genus	True positives	97
sourmash	marine0	genus	False negatives	115
sourmash	marine0	genus	False positives	0
sourmash	marine0	genus	Completeness	0.457547169811321
sourmash	marine0	genus	Purity	1
sourmash	marine0	genus	F1 score	0.627831715210356
sourmash	marine0	genus	Jaccard index	0.457547169811321
sourmash	marine0	species	True positives	113
sourmash	marine0	species	False negatives	183
sourmash	marine0	species	False positives	5
sourmash	marine0	species	Completeness	0.381756756756757
sourmash	marine0	species	Purity	0.957627118644068
sourmash	marine0	species	F1 score	0.545893719806763
sourmash	marine0	species	Jaccard index	0.375415282392027
sourmash	marine0	kingdom	L1 norm error	0.102425293217543
sourmash	marine0	phylum	L1 norm error	0.152434365948616
sourmash	marine0	class	L1 norm error	0.163348615640586
sourmash	marine0	order	L1 norm error	0.321123773669314
sourmash	marine0	family	L1 norm error	0.350730802371097
sourmash	marine0	genus	L1 norm error	0.394614676407508
sourmash	marine0	species	L1 norm error	0.442905240102549
sourmash	marine0	na	Weighted UniFrac error	0.0179396142982823
sourmash	marine0	na	Unweighted UniFrac error	0.554833344872449
sourmash	marine0	na	Weighted UniFrac (CAMI)	1.92758276735722
sourmash	marine0	na	Unweighted UniFrac (CAMI)	1360.04556962025
sourmash	marine0	phylum	Sum of abundances	0.99746835443038
sourmash	marine0	class	Sum of abundances	0.992405063291138
sourmash	marine0	order	Sum of abundances	0.992405063291138
sourmash	marine0	family	Sum of abundances	0.972151898734176
sourmash	marine0	genus	Sum of abundances	0.962025316455695
sourmash	marine0	species	Sum of abundances	0.91392405063291
sourmash	marine0	phylum	Taxon counts	18
sourmash	marine0	class	Taxon counts	26
sourmash	marine0	order	Taxon counts	51
sourmash	marine0	family	Taxon counts	71
sourmash	marine0	genus	Taxon counts	97
sourmash	marine0	species	Taxon counts	118
metabuli	marine0	kingdom	Bray-Curtis distance	0.0614764989065706
metabuli	marine0	phylum	Bray-Curtis distance	0.0856893724462683
metabuli	marine0	class	Bray-Curtis distance	0.108620443165797
metabuli	marine0	order	Bray-Curtis distance	0.184619331699793
metabuli	marine0	family	Bray-Curtis distance	0.191609540397231
metabuli	marine0	genus	Bray-Curtis distance	0.200388426372797
metabuli	marine0	species	Bray-Curtis distance	0.250923255899746
metabuli	marine0	phylum	Shannon diversity	1.32971461108325
metabuli	marine0	phylum	Shannon equitability	0.328888881934818
metabuli	marine0	class	Shannon diversity	1.70605794538363
metabuli	marine0	class	Shannon equitability	0.355740712435837
metabuli	marine0	order	Shannon diversity	2.90948495903138
metabuli	marine0	order	Shannon equitability	0.511300732824618
metabuli	marine0	family	Shannon diversity	3.5063696793329
metabuli	marine0	family	Shannon equitability	0.543583560556404
metabuli	marine0	genus	Shannon diversity	3.90755367825053
metabuli	marine0	genus	Shannon equitability	0.507335853388949
metabuli	marine0	species	Shannon diversity	4.52678334999566
metabuli	marine0	species	Shannon equitability	0.51365752542242
metabuli	marine0	kingdom	True positives	2
metabuli	marine0	kingdom	False negatives	0
metabuli	marine0	kingdom	False positives	0
metabuli	marine0	kingdom	Completeness	1
metabuli	marine0	kingdom	Purity	1
metabuli	marine0	kingdom	F1 score	1
metabuli	marine0	kingdom	Jaccard index	1
metabuli	marine0	phylum	True positives	21
metabuli	marine0	phylum	False negatives	2
metabuli	marine0	phylum	False positives	36
metabuli	marine0	phylum	Completeness	0.91304347826087
metabuli	marine0	phylum	Purity	0.368421052631579
metabuli	marine0	phylum	F1 score	0.525
metabuli	marine0	phylum	Jaccard index	0.355932203389831
metabuli	marine0	class	True positives	36
metabuli	marine0	class	False negatives	2
metabuli	marine0	class	False positives	85
metabuli	marine0	class	Completeness	0.947368421052632
metabuli	marine0	class	Purity	0.297520661157025
metabuli	marine0	class	F1 score	0.452830188679245
metabuli	marine0	class	Jaccard index	0.292682926829268
metabuli	marine0	order	True positives	75
metabuli	marine0	order	False negatives	3
metabuli	marine0	order	False positives	221
metabuli	marine0	order	Completeness	0.961538461538461
metabuli	marine0	order	Purity	0.253378378378378
metabuli	marine0	order	F1 score	0.401069518716578
metabuli	marine0	order	Jaccard index	0.250836120401338
metabuli	marine0	family	True positives	125
metabuli	marine0	family	False negatives	4
metabuli	marine0	family	False positives	508
metabuli	marine0	family	Completeness	0.968992248062015
metabuli	marine0	family	Purity	0.197472353870458
metabuli	marine0	family	F1 score	0.328083989501312
metabuli	marine0	family	Jaccard index	0.196232339089482
metabuli	marine0	genus	True positives	204
metabuli	marine0	genus	False negatives	8
metabuli	marine0	genus	False positives	2009
metabuli	marine0	genus	Completeness	0.962264150943396
metabuli	marine0	genus	Purity	0.0921825576140985
metabuli	marine0	genus	F1 score	0.168247422680412
metabuli	marine0	genus	Jaccard index	0.0918505177847816
metabuli	marine0	species	True positives	272
metabuli	marine0	species	False negatives	24
metabuli	marine0	species	False positives	6448
metabuli	marine0	species	Completeness	0.918918918918919
metabuli	marine0	species	Purity	0.0404761904761905
metabuli	marine0	species	F1 score	0.0775370581527936
metabuli	marine0	species	Jaccard index	0.0403321470937129
metabuli	marine0	kingdom	L1 norm error	0.122952997813141
metabuli	marine0	phylum	L1 norm error	0.171254075057552
metabuli	marine0	class	L1 norm error	0.217022681414492
