rank,tool2,Bray-Curtis distance,Completeness,F1 score,False negatives,False positives,Jaccard index,L1 norm error,Purity,Shannon diversity,Shannon equitability,Sum of abundances,Taxon counts,True positives,Unweighted UniFrac (CAMI),Unweighted UniFrac error,Weighted UniFrac (CAMI),Weighted UniFrac error
,SingleM,,,,,,,,,,,,,,1016.7,0.312464039427498,0.491208325151198,0.00329081662313931
,MetaPhlAn,,,,,,,,,,,,,,284.9,0.0883756978757305,0.614597200750678,0.00511549559616185
,Kraken2,,,,,,,,,,,,,,11707.245437,4.37681521034041,1.79866846088625,0.0171660460476761
,sourmash,,,,,,,,,,,,,,1586.30932790289,0.561020406622171,1.8282018678222,0.0164878619219916
,Metabuli,,,,,,,,,,,,,,50127,18.3825692573083,1.93028961117413,0.0181327111676874
,sylph,,,,,,,,,,,,,,197.3,0.0590491275884608,0.41364541617684,0.00359402555722181
species,SingleM,0.167554552357711,0.571280447221973,0.71576099712246,148.4,7.6,0.558553202876864,0.281685147266382,0.962237728590534,3.32367679048887,0.626250218694744,0.721631065393193,202.6,195,,,,
species,MetaPhlAn,0.0845281419985206,0.907806928852847,0.92575106115618,31.6,18.2,0.861855427521378,0.165579187299366,0.944454604956454,4.47019523286939,0.771791281402522,0.999248492908992,330,311.8,,,,
species,Kraken2,0.201720436540263,0.993917263807827,0.336985933691305,2.1,1357.9,0.203515101989939,0.394056101487655,0.203776885866115,5.03059243852448,0.677175245136696,0.993578000000012,1699.2,341.3,,,,
species,sourmash,0.237535151798058,0.375844943279387,0.539253069152351,215.6,4.9,0.370445680736552,0.443013608153157,0.962688700618477,3.99428340171559,0.817579905213796,0.905357295394887,132.7,127.8,,,,
species,Metabuli,0.23127616752476,0.912336749272451,0.089146635320996,30,6369.7,0.0466842725116423,0.443868128591032,0.0468960005130297,4.71301746818402,0.535122811181438,0.959195131262719,6683.1,313.4,,,,
species,sylph,0.0494352099326941,0.987533007677546,0.989501382508172,4.4,2.9,0.979232219246612,0.0968700064429775,0.991498109124242,4.60277555297628,0.789817205032234,1,341.9,339,,,,
