tool,sample,known,rank,metric,value
singlem,marine0,0,kingdom,Bray-Curtis distance,0.00181272980582875
singlem,marine0,0,phylum,Bray-Curtis distance,0.0118830605509974
singlem,marine0,0,class,Bray-Curtis distance,0.0144922496132788
singlem,marine0,0,order,Bray-Curtis distance,0.0230115329732017
singlem,marine0,0,family,Bray-Curtis distance,0.0332876695143713
singlem,marine0,0,genus,Bray-Curtis distance,0.0464333722713543
singlem,marine0,0,species,Bray-Curtis distance,0.137913682779052
singlem,marine0,0,phylum,Shannon diversity,1.93817641378201
singlem,marine0,0,phylum,Shannon equitability,0.575588398418145
singlem,marine0,0,class,Shannon diversity,2.35853363509434
singlem,marine0,0,class,Shannon equitability,0.609251141557542
singlem,marine0,0,order,Shannon diversity,3.45077718392204
singlem,marine0,0,order,Shannon equitability,0.75776690193072
singlem,marine0,0,family,Shannon diversity,3.95441696567545
singlem,marine0,0,family,Shannon equitability,0.78712400688409
singlem,marine0,0,genus,Shannon diversity,4.28637517448987
singlem,marine0,0,genus,Shannon equitability,0.764631915968104
singlem,marine0,0,species,Shannon diversity,4.32137982237282
singlem,marine0,0,species,Shannon equitability,0.735211649997715
singlem,marine0,0,kingdom,True positives,2
singlem,marine0,0,kingdom,False negatives,0
singlem,marine0,0,kingdom,False positives,0
singlem,marine0,0,kingdom,Completeness,1
singlem,marine0,0,kingdom,Purity,1
singlem,marine0,0,kingdom,F1 score,1
singlem,marine0,0,kingdom,Jaccard index,1
singlem,marine0,0,phylum,True positives,29
singlem,marine0,0,phylum,False negatives,0
singlem,marine0,0,phylum,False positives,0
singlem,marine0,0,phylum,Completeness,1
singlem,marine0,0,phylum,Purity,1
singlem,marine0,0,phylum,F1 score,1
singlem,marine0,0,phylum,Jaccard index,1
singlem,marine0,0,class,True positives,48
singlem,marine0,0,class,False negatives,0
singlem,marine0,0,class,False positives,0
singlem,marine0,0,class,Completeness,1
singlem,marine0,0,class,Purity,1
singlem,marine0,0,class,F1 score,1
singlem,marine0,0,class,Jaccard index,1
singlem,marine0,0,order,True positives,95
singlem,marine0,0,order,False negatives,0
singlem,marine0,0,order,False positives,0
singlem,marine0,0,order,Completeness,1
singlem,marine0,0,order,Purity,1
singlem,marine0,0,order,F1 score,1
singlem,marine0,0,order,Jaccard index,1
singlem,marine0,0,family,True positives,152
singlem,marine0,0,family,False negatives,3
singlem,marine0,0,family,False positives,0
singlem,marine0,0,family,Completeness,0.980645161290323
singlem,marine0,0,family,Purity,1
singlem,marine0,0,family,F1 score,0.990228013029316
singlem,marine0,0,family,Jaccard index,0.980645161290323
singlem,marine0,0,genus,True positives,270
singlem,marine0,0,genus,False negatives,3
singlem,marine0,0,genus,False positives,2
singlem,marine0,0,genus,Completeness,0.989010989010989
singlem,marine0,0,genus,Purity,0.992647058823529
singlem,marine0,0,genus,F1 score,0.990825688073395
singlem,marine0,0,genus,Jaccard index,0.981818181818182
singlem,marine0,0,species,True positives,335
singlem,marine0,0,species,False negatives,44
singlem,marine0,0,species,False positives,22
singlem,marine0,0,species,Completeness,0.883905013192612
singlem,marine0,0,species,Purity,0.938375350140056
singlem,marine0,0,species,F1 score,0.910326086956522
singlem,marine0,0,species,Jaccard index,0.835411471321696
singlem,marine0,0,kingdom,L1 norm error,0.0036254596116575
singlem,marine0,0,phylum,L1 norm error,0.0237113246669562
singlem,marine0,0,class,L1 norm error,0.0288781936967426
singlem,marine0,0,order,L1 norm error,0.0456923580828374
singlem,marine0,0,family,L1 norm error,0.0658153632845528
singlem,marine0,0,genus,L1 norm error,0.090767532303186
singlem,marine0,0,species,L1 norm error,0.258830747440765
singlem,marine0,0,na,Weighted UniFrac error,0.00356289821306418
singlem,marine0,0,na,Unweighted UniFrac error,0.324159792514679
singlem,marine0,0,na,Weighted UniFrac (CAMI),0.517320979086697
singlem,marine0,0,na,Unweighted UniFrac (CAMI),966
singlem,marine0,0,phylum,Sum of abundances,0.995388693442783
singlem,marine0,0,class,Sum of abundances,0.992664663344083
singlem,marine0,0,order,Sum of abundances,0.985628603537574
singlem,marine0,0,family,Sum of abundances,0.977169451773673
singlem,marine0,0,genus,Sum of abundances,0.954790872666862
singlem,marine0,0,species,Sum of abundances,0.876759014951627
singlem,marine0,0,phylum,Taxon counts,29
singlem,marine0,0,class,Taxon counts,48
singlem,marine0,0,order,Taxon counts,95
singlem,marine0,0,family,Taxon counts,152
singlem,marine0,0,genus,Taxon counts,272
singlem,marine0,0,species,Taxon counts,357
metaphlan,marine0,0,kingdom,Bray-Curtis distance,0.00180189769675334
metaphlan,marine0,0,phylum,Bray-Curtis distance,0.0975115797133698
metaphlan,marine0,0,class,Bray-Curtis distance,0.120446185019034
metaphlan,marine0,0,order,Bray-Curtis distance,0.143868892390499
metaphlan,marine0,0,family,Bray-Curtis distance,0.158161643453706
metaphlan,marine0,0,genus,Bray-Curtis distance,0.172274249734234
metaphlan,marine0,0,species,Bray-Curtis distance,0.218014143700987
metaphlan,marine0,0,phylum,Shannon diversity,1.6891994115246
