rank,tool2,known,Bray-Curtis distance,Completeness,F1 score,False negatives,False positives,Jaccard index,L1 norm error,Purity,Shannon diversity,Shannon equitability,Sum of abundances,Taxon counts,True positives,Unweighted UniFrac (CAMI),Unweighted UniFrac error,Weighted UniFrac (CAMI),Weighted UniFrac error
,SingleM,0,,,,,,,,,,,,,,1098.2,0.322491114021596,0.519100314256223,0.0036742590155744
,SingleM,10,,,,,,,,,,,,,,1189,0.362407584561902,0.537077789738848,0.00370900215236922
,SingleM,20,,,,,,,,,,,,,,1279.4,0.405298288777926,0.547746357720276,0.0039500641922449
,SingleM,30,,,,,,,,,,,,,,1393.2,0.46072088885531,0.596102261575238,0.00434496120064082
,SingleM,40,,,,,,,,,,,,,,1486.2,0.495859088828989,0.577454990484255,0.00417733237087102
,SingleM,50,,,,,,,,,,,,,,1555.8,0.537711679515941,0.639505686853995,0.00465413559219907
,SingleM,60,,,,,,,,,,,,,,1592,0.573254135468834,0.617420753706318,0.00468661950436143
,SingleM,70,,,,,,,,,,,,,,1754,0.641211611553428,0.697836365021344,0.00519842892936597
,SingleM,80,,,,,,,,,,,,,,1766,0.66742389953097,0.675506603300262,0.00492333944844084
,SingleM,90,,,,,,,,,,,,,,1747.8,0.683853100790601,0.762707191878815,0.00592486715354409
,SingleM,100,,,,,,,,,,,,,,1769.6,0.716408341641796,0.739936182902152,0.00580255667187541
,MetaPhlAn,0,,,,,,,,,,,,,,684,0.1780025233611,1.47194791508268,0.0117903523108369
,MetaPhlAn,10,,,,,,,,,,,,,,823.8,0.227072091571569,1.89824357176576,0.0157125407548373
,MetaPhlAn,20,,,,,,,,,,,,,,883.4,0.25901112318742,2.56174812003906,0.0211345096588736
,MetaPhlAn,30,,,,,,,,,,,,,,1067.2,0.322734653898821,3.04729944016016,0.0255451733803848
,MetaPhlAn,40,,,,,,,,,,,,,,1139.6,0.355336994624964,3.40314885407851,0.0280354615173888
,MetaPhlAn,50,,,,,,,,,,,,,,1298.8,0.425026185973893,3.89874941249456,0.0329432861621399
,MetaPhlAn,60,,,,,,,,,,,,,,1402.4,0.476070274406451,4.08976934088689,0.0354987616510064
,MetaPhlAn,70,,,,,,,,,,,,,,1531,0.530293964686427,4.728104799373,0.0386543333129671
,MetaPhlAn,80,,,,,,,,,,,,,,1672,0.60781197395523,5.19122656880566,0.0442450371185347
,MetaPhlAn,90,,,,,,,,,,,,,,1779.6,0.673304606296679,5.61185990751115,0.046982117865416
,MetaPhlAn,100,,,,,,,,,,,,,,1885,0.737063472527553,5.77180254582421,0.0486117987889471
,Kraken2,0,,,,,,,,,,,,,,21758.674764,6.42215958498449,2.03103848310039,0.0169675499118935
,Kraken2,10,,,,,,,,,,,,,,30200.9016,9.02860269991356,2.40320974617755,0.0203393753275128
,Kraken2,20,,,,,,,,,,,,,,39283.8537380001,12.0800251113506,2.63018497616465,0.02198965649738
,Kraken2,30,,,,,,,,,,,,,,47455.4817980001,14.5899272919253,2.45398347331265,0.0210816371784492
,Kraken2,40,,,,,,,,,,,,,,64717.3933919999,20.2724944827106,2.68365841152008,0.0219547891654831
,Kraken2,50,,,,,,,,,,,,,,73198.4071619998,23.5535300918313,3.25631375700233,0.0281899280025951
,Kraken2,60,,,,,,,,,,,,,,81687.2122119997,26.56455604236,3.26943606090808,0.028049795277921
,Kraken2,70,,,,,,,,,,,,,,103898.196205999,34.0284790749553,3.57294510494714,0.0302042420264519
,Kraken2,80,,,,,,,,,,,,,,130884.166239999,44.6796620835359,3.73457391034616,0.030852413633657
,Kraken2,90,,,,,,,,,,,,,,149341.924053998,52.5451395937269,3.83745316609723,0.0311776629250455
,Kraken2,100,,,,,,,,,,,,,,154758.284633998,56.3527293858632,3.98770486785508,0.0322887158153553
,sourmash,0,,,,,,,,,,,,,,1132.77229412439,0.303146668193691,2.25629784710364,0.018712443119732
,sourmash,10,,,,,,,,,,,,,,1221.9493824772,0.339136581771628,2.67194117047531,0.0225689092361755
,sourmash,20,,,,,,,,,,,,,,1370.95487670178,0.40012876748541,2.94546004563711,0.0246483655337232
,sourmash,30,,,,,,,,,,,,,,1367.55370804783,0.413311544768708,2.8491545093066,0.024418380798874
,sourmash,40,,,,,,,,,,,,,,1496.55605032953,0.464843212640671,3.36744330461775,0.0282973098457646
,sourmash,50,,,,,,,,,,,,,,1631.52634618136,0.531114407676261,4.03019826037413,0.0360151314670793
,sourmash,60,,,,,,,,,,,,,,1721.71695894951,0.578783510307737,3.98713369259649,0.0350645234938274
,sourmash,70,,,,,,,,,,,,,,1843.94058620831,0.637402123313948,4.72061662735482,0.0413989012633528
,sourmash,80,,,,,,,,,,,,,,1877.74831717929,0.676834053143215,4.78922106313011,0.0416941955401243
,sourmash,90,,,,,,,,,,,,,,1954.90030889996,0.741814590138374,5.03738438265455,0.0430217870801166
,sourmash,100,,,,,,,,,,,,,,2044.7110131778,0.798571698344926,5.52743404084555,0.0485357332506618
,Metabuli,0,,,,,,,,,,,,,,52432.4,15.3759463163291,3.70363951074674,0.0294996960854047
,Metabuli,10,,,,,,,,,,,,,,52417,15.4833788872233,3.66422391695644,0.0297754063966097
,Metabuli,20,,,,,,,,,,,,,,52586,15.8721139468849,3.93771156129313,0.0320938254459144
,Metabuli,30,,,,,,,,,,,,,,52724.4,16.1649211600955,3.6935031119057,0.0303400865200297
,Metabuli,40,,,,,,,,,,,,,,52758.2,16.3417310940523,3.65249692293875,0.0293341583795646
,Metabuli,50,,,,,,,,,,,,,,52840,16.8386883215636,4.0861293932082,0.0344004929269304
,Metabuli,60,,,,,,,,,,,,,,52991.6,17.2181685425731,4.1353949400262,0.0347317151275625
,Metabuli,70,,,,,,,,,,,,,,53030.8,17.4717887976646,4.0721612950345,0.0334495193177019
,Metabuli,80,,,,,,,,,,,,,,53187.4,18.1530692409298,3.96900483992225,0.0326647137123105
,Metabuli,90,,,,,,,,,,,,,,53251.2,18.8563827609338,4.14129167394985,0.0337307096088467
,Metabuli,100,,,,,,,,,,,,,,53379.6,19.430218406385,4.18192451582436,0.0345782857633473
,sylph,0,,,,,,,,,,,,,,183.2,0.0390257305969749,0.11528164240842,0.00086244215359149
,sylph,10,,,,,,,,,,,,,,335.8,0.0910531497866325,0.838398568597123,0.0071909749072814
,sylph,20,,,,,,,,,,,,,,494,0.149712705710149,1.3030345125152,0.0109960246808071
,sylph,30,,,,,,,,,,,,,,671.4,0.210663274258687,1.85542877297559,0.0165420175620651
,sylph,40,,,,,,,,,,,,,,882.8,0.288045440663864,2.66111381170773,0.022303258328934
,sylph,50,,,,,,,,,,,,,,1072.6,0.36538268594244,3.30553181118942,0.0291653582984704
,sylph,60,,,,,,,,,,,,,,1258.4,0.437657503151305,3.63498586380111,0.031891823672425
,sylph,70,,,,,,,,,,,,,,1493.4,0.53429704492958,4.32571405136476,0.0359061481620563
,sylph,80,,,,,,,,,,,,,,1642.6,0.611125777687984,4.92949775056642,0.0417226569138106
,sylph,90,,,,,,,,,,,,,,1803,0.698106772906142,5.4651180863737,0.0455333035000429
,sylph,100,,,,,,,,,,,,,,1979.6,0.786705965514216,5.96820924424329,0.0505853842775654
species,SingleM,0,0.134084166970345,0.869905383544309,0.901834830865426,58.8,25.8,0.821494590316986,0.252622163166546,0.936509632900953,4.54860101732379,0.755914819938686,0.883974185543474,413.2,387.4,,,,
species,SingleM,10,0.152658168679908,0.864531374324928,0.888327632100051,56.2,33.2,0.799307707240743,0.261186888676141,0.913970752304359,4.18964350891149,0.705324590562119,0.80850917140212,383.2,350,,,,
species,SingleM,20,0.14612843089358,0.866802330336083,0.883937917105811,50,34.4,0.792171536736311,0.22636582024025,0.902091714073162,3.87290428583456,0.660497459036708,0.7385827543501,354.6,320.2,,,,
species,SingleM,30,0.168460504564518,0.876398460469654,0.87052027480844,41.2,44.4,0.771045624550163,0.239384500305106,0.865058639420412,3.58932135781069,0.619390681720575,0.687757105273011,332,287.6,,,,
species,SingleM,40,0.177029272139678,0.878117312281129,0.84801784541721,36,55.8,0.736550787485142,0.211817059668836,0.820929876770851,3.20207134474619,0.558564776063385,0.590880014184493,311.4,255.6,,,,
species,SingleM,50,0.200070820434313,0.869050805235934,0.82430342281616,32.6,58.8,0.701580927605052,0.209094948814516,0.78427765464387,2.78828049550728,0.497168403754107,0.526936219933125,275,216.2,,,,
species,SingleM,60,0.204638748873519,0.886388418094666,0.818029461725498,24.8,58.4,0.692519808413362,0.197923186335484,0.76005869346329,2.5753377259276,0.469786568104725,0.489234399298885,243,184.6,,,,
species,SingleM,70,0.255254327296457,0.894944034944035,0.760233509496592,17.6,75,0.613338800551289,0.178531120282842,0.661210442295885,2.10392473071224,0.390336688710407,0.382778682489035,222.4,147.4,,,,
species,SingleM,80,0.336187561566923,0.885301922602458,0.694295206083821,15.2,82.8,0.532102086075143,0.18889523303351,0.572261644777621,1.77745879099507,0.33790376385431,0.310951276565989,194.4,111.6,,,,
species,SingleM,90,0.374015789841336,0.843721511934154,0.594369490214348,13.2,85.6,0.423151174946434,0.153822337055539,0.459536060509215,1.42969411132875,0.283004225429341,0.254034787967763,158.4,72.8,,,,
species,SingleM,100,0.500518442578294,0.880890768994773,0.428857385598773,5.4,98.4,0.273130091241339,0.152172474518299,0.283614606471535,1.16589688319338,0.237218428691732,0.2075346177436,137.2,38.8,,,,
species,MetaPhlAn,0,0.203298264416246,0.772769668334765,0.838034975058455,100.8,31.6,0.721469113066778,0.40645416062034,0.915629705075412,4.97054492493417,0.839352548032685,0.999334501483177,377,345.4,,,,
species,MetaPhlAn,10,0.237860746973494,0.785248038664934,0.840853907876368,88.2,33.6,0.725961777682524,0.450361212271633,0.905099111454055,4.89866209863519,0.836717658660467,0.992779597881651,351.6,318,,,,
species,MetaPhlAn,20,0.323256826870098,0.776259554340747,0.825808994332303,82.2,38.2,0.703862454659515,0.574373451044033,0.882183270497328,4.77786627140049,0.827347617198268,0.966409602270592,326.2,288,,,,
species,MetaPhlAn,30,0.373265301981112,0.760593932191146,0.80047928932518,78.2,45,0.668056157267187,0.645276018992608,0.844861025599788,4.69591512081751,0.826602020236476,0.990641558323217,295.6,250.6,,,,
species,MetaPhlAn,40,0.405337454463321,0.781315717320735,0.807748718632306,64.4,45,0.677971188669392,0.642416554350567,0.836263581302505,4.74967182340202,0.848305713819146,0.986527201528897,272.2,227.2,,,,
species,MetaPhlAn,50,0.426828879681462,0.758278445405434,0.780242008609875,60.4,46.2,0.640162749054402,0.637059367182643,0.803624067337292,4.34469699604443,0.797695503120337,0.969378386288478,234.6,188.4,,,,
species,MetaPhlAn,60,0.472169300565111,0.779003022551632,0.778758848475528,46.6,46.6,0.637840387324925,0.68462206664752,0.778834299465671,4.22778567466324,0.791877559600615,0.978648260103131,209.4,162.8,,,,
species,MetaPhlAn,70,0.636113253421682,0.764689602704309,0.726713667742756,38.8,55.8,0.570843985279448,0.819208483219182,0.693184401156174,4.26238140724208,0.820575906659772,0.965983527559916,182,126.2,,,,
species,MetaPhlAn,80,0.698951365905405,0.732938232380464,0.687479612272315,33.8,50.2,0.524031109494715,0.82693892261709,0.647429766863504,3.89169410295889,0.784783172218581,0.933490054592688,143.2,93,,,,
species,MetaPhlAn,90,0.799827385656787,0.671230838973479,0.577536414182364,27.8,55.6,0.40742822088429,0.854250683103766,0.507225274725275,3.54098287099539,0.748386342149512,0.90471824478549,113.8,58.2,,,,
species,MetaPhlAn,100,0.884871546230333,0.608568283993963,0.417750978994702,17.4,57.8,0.26454689224878,0.758599862104769,0.318273397562782,2.83753519258339,0.640941943640794,0.755901489953333,84.6,26.8,,,,
species,Kraken2,0,0.250468991224159,0.990080373500084,0.254732330119869,4.4,2566.8,0.146132929138678,0.498243137559175,0.14635588697742,5.55438200666217,0.693514430184967,0.989200000000016,3008.6,441.8,,,,
species,Kraken2,10,0.292109704688499,0.989024700813067,0.191018409869851,4.4,3392.2,0.105710837798043,0.550580810012569,0.105833115932606,5.53028471151752,0.671204784459251,0.980268000000012,3794,401.8,,,,
species,Kraken2,20,0.317076818182549,0.988472811228695,0.143236790370692,4.4,4371,0.0772732001007038,0.566072020526192,0.0773452228930734,5.67954568173315,0.671212003912763,0.975988000000012,4736.8,365.8,,,,
species,Kraken2,30,0.319848283823127,0.985969029228895,0.111673073851593,4.8,5210.8,0.0591681716831122,0.544998015703759,0.0592210418939384,5.77176848225127,0.670643985252194,0.967008000000014,5534.8,324,,,,
