tool	community	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives	Unweighted UniFrac (CAMI)	Unweighted UniFrac error	Weighted UniFrac (CAMI)	Weighted UniFrac error
SingleM	marine0	kingdom	0	1	1	0	0	1	0	1					1				
SingleM dev	marine0	kingdom	0	1	1	0	0	1	0	1					1				
sylph	marine0	kingdom	0	1	1	0	0	1	0	1					1				
SingleM	marine0	phylum	0.013972132713684	1	1	0	0	1	0.0277578610765476	1	1.42247310363067	0.793897355119611	0.986658847676294	6	6				
SingleM dev	marine0	phylum	0.0492041747928787	1	1	0	0	1	0.0974344146555591	1	1.34889049070902	0.752830116918628	0.98020625415835	6	6				
sylph	marine0	phylum	0.153161895958804	0.833333333333333	0.909090909090909	1	0	0.833333333333333	0.306323791917608	1	1.18762785807784	0.737914677479967	1	5	5				
SingleM	marine0	class	0.0147958914625651	1	1	0	0	1	0.0293705278409517	1	1.52317881011468	0.782759065650665	0.98504618091189	7	7				
SingleM dev	marine0	class	0.0593528439016982	1	1	0	0	1	0.117530872696227	1	1.43621495518457	0.738068484755997	0.98020625415835	7	7				
sylph	marine0	class	0.153161895958804	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.306323791917608	1	1.31173840109168	0.732095140904607	1	6	6				
SingleM	marine0	order	0.0293198883222127	1	1	0	0	1	0.0570493414180335	1	1.53434587483382	0.737864394877062	0.945755754288228	8	8				
SingleM dev	marine0	order	0.0733800075042875	1	1	0	0	1	0.143769645441285	1	1.46182790142509	0.702990621339697	0.959248170326015	8	8				
sylph	marine0	order	0.153161895958804	0.875	0.933333333333333	1	0	0.875	0.306323791917608	1	1.37178253348654	0.70495677005051	1	7	7				
SingleM	marine0	family	0.0419706395769652	1	1	0	0	1	0.0810000732137766	1	1.5701879966202	0.714623353851158	0.92992229878317	9	9				
SingleM dev	marine0	family	0.0743234195506002	1	1	0	0	1	0.145605661255318	1	1.50855670852503	0.686573745845276	0.959081836327345	9	9				
sylph	marine0	family	0.153161895958804	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.306323791917608	1	1.43381822946297	0.68952081639414	1	8	8				
SingleM	marine0	genus	0.0435561092050495	1	1	0	0	1	0.0839321946036022	1	1.56894947366317	0.714059677761875	0.926990177393344	9	9				
SingleM dev	marine0	genus	0.082503313839248	1	1	0	0	1	0.160409387136888	1	1.4877086577756	0.677085389049856	0.944278110445775	9	9				
sylph	marine0	genus	0.153161895958804	0.888888888888889	0.941176470588235	1	0	0.888888888888889	0.306323791917608	1	1.43381822946297	0.68952081639414	1	8	8				
SingleM	marine0	species	0.205989320180851	1	0.857142857142857	0	3	0.75	0.333589835138162	0.75	1.68343097449842	0.677462461071544	0.77261398621903	12	9				
SingleM dev	marine0	species	0.0658307431172469	1	1	0	0	1	0.106763522637677	1	1.29083251676547	0.587483195882688	0.774950099800399	9	9				
sylph	marine0	species	0.0829319557700588	1	1	0	0	1	0.153161895958804	1	1.47722038893033	0.672311972188671	1	9	9				
SingleM	marine0															81	1.42566943674977	0.612699833291074	0.00405215462110008
SingleM dev	marine0															25	0.469252077562327	0.771513503822954	0.00682305883581363
sylph	marine0															13	0.227516158818098	1.68478085554684	0.0163117419196126
