run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	bam_ftp
ERR4097111	PRJEB38036	SAMEA6804748	ERX4088284	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097111/ERR4097111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097111/ERR4097111_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097111/D6300_28.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097111/D6300_28.2.rmhost.fq.gz	
ERR4097171	PRJEB38036	SAMEA6804856	ERX4088344	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097171/ERR4097171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097171/ERR4097171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097171/D6300_4_24.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097171/D6300_4_24.2.rmhost.fq.gz	
ERR4097172	PRJEB38036	SAMEA6804857	ERX4088345	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097172/ERR4097172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097172/ERR4097172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097172/D6300_40.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097172/D6300_40.2.rmhost.fq.gz	
ERR4097173	PRJEB38036	SAMEA6804858	ERX4088346	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097173/ERR4097173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097173/ERR4097173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097173/D6300_41.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097173/D6300_41.2.rmhost.fq.gz	
ERR4097174	PRJEB38036	SAMEA6804859	ERX4088347	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097174/ERR4097174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097174/ERR4097174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097174/D6300_42.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097174/D6300_42.2.rmhost.fq.gz	
ERR4097175	PRJEB38036	SAMEA6804860	ERX4088348	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097175/ERR4097175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097175/ERR4097175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097175/D6300_6_19.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097175/D6300_6_19.2.rmhost.fq.gz	
ERR4097176	PRJEB38036	SAMEA6804861	ERX4088349	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097176/ERR4097176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097176/ERR4097176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097176/D6300_7.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097176/D6300_7.2.rmhost.fq.gz	
ERR4097177	PRJEB38036	SAMEA6804862	ERX4088350	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097177/ERR4097177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097177/ERR4097177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097177/D6300_9.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097177/D6300_9.2.rmhost.fq.gz	
ERR4097204	PRJEB38036	SAMEA6804938	ERX4088377	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097204/ERR4097204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097204/ERR4097204_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097204/D6300_4_23.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097204/D6300_4_23.2.rmhost.fq.gz	
ERR4097205	PRJEB38036	SAMEA6804937	ERX4088378	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097205/ERR4097205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097205/ERR4097205_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097205/D6300_4_22.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097205/D6300_4_22.2.rmhost.fq.gz	
