tool	community	rank	Bray-Curtis distance	Completeness	F1 score	False negatives	False positives	Jaccard index	L1 norm error	Purity	Shannon diversity	Shannon equitability	Sum of abundances	Taxon counts	True positives	Unweighted UniFrac (CAMI)	Unweighted UniFrac error	Weighted UniFrac (CAMI)	Weighted UniFrac error
SingleM	sample4	kingdom	0	1	1	0	0	1	0	1					1				
SingleM	sample5	kingdom	0	1	1	0	0	1	0	1					1				
SingleM dev	sample4	kingdom	0.00179377386876522	1	0.666666666666667	0	1	0.5	0.00358754773753043	0.5					1				
SingleM dev	sample5	kingdom	0.00030990363472694	1	0.666666666666667	0	1	0.5	0.00061980726945388	0.5					1				
SingleM inject	sample4	kingdom	0	1	1	0	0	1	0	1					1				
SingleM inject	sample5	kingdom	0	1	1	0	0	1	0	1					1				
SingleM joint	sample4	kingdom	0.00283326250177081	1	0.666666666666667	0	1	0.5	0.00566652500354162	0.5					1				
SingleM joint	sample5	kingdom	0.0787106446776612	1	0.666666666666667	0	1	0.5	0.157421289355322	0.5					1				
SingleM nnls	sample4	kingdom	0.00279446695542828	1	0.666666666666667	0	1	0.5	0.00558893391085656	0.5					1				
SingleM nnls	sample5	kingdom	0.00103560901776465	1	0.666666666666667	0	1	0.5	0.00207121803552929	0.5					1				
SingleM truecov	sample4	kingdom	0.00280780569984557	1	0.666666666666667	0	1	0.5	0.00561561139969114	0.5					1				
SingleM truecov	sample5	kingdom	0.00110744986973852	1	0.666666666666667	0	1	0.5	0.00221489973947704	0.5					1				
sylph	sample4	kingdom	0	1	1	0	0	1	0	1					1				
sylph	sample5	kingdom	0	1	1	0	0	1	0	1					1				
SingleM	sample4	phylum	0.0103103474521445	1	1	0	0	1	0.0205608363215513	1	1.43063076801305	0.65110812193238	0.994194319540099	9	9				
SingleM	sample5	phylum	0.000900279268069916	1	1	0	0	1	0.0018000661366525	1	0.152476266408129	0.109988376700136	0.999453059173085	4	4				
SingleM dev	sample4	phylum	0.12432502764947	0.666666666666667	0.8	3	0	0.666666666666667	0.221154958916792	1	0.976799324853636	0.545162083208898	0.778845041083208	6	6				
SingleM dev	sample5	phylum	0.00771441424359705	0.75	0.857142857142857	1	0	0.75	0.0153107152871036	1	0.121144377070415	0.110270364094764	0.984689284712896	3	3				
SingleM inject	sample4	phylum	0.0103103474521444	1	1	0	0	1	0.0205608363215512	1	1.43063076801305	0.65110812193238	0.994194319540099	9	9				
SingleM inject	sample5	phylum	0.0011656478677078	1	1	0	0	1	0.0023312957354156	1	0.151961887596918	0.109617330820099	1	4	4				
SingleM joint	sample4	phylum	0.0169287434480805	1	0.75	0	6	0.6	0.033857486896161	0.6	1.47309293616718	0.543968105010613	1	15	9				
SingleM joint	sample5	phylum	0.195941452913099	0.75	0.75	1	1	0.6	0.391882905826198	0.75	0.713716307011824	0.514837488363772	1	4	3				
SingleM nnls	sample4	phylum	0.0210749382888548	1	0.75	0	6	0.6	0.0421498765777096	0.6	1.48685963073009	0.549051723681089	1	15	9				
SingleM nnls	sample5	phylum	0.0648453016786357	1	0.888888888888889	0	1	0.8	0.129690603357271	0.8	0.367171680018157	0.228136591776225	1	5	4				
SingleM truecov	sample4	phylum	0.0175721840048669	1	0.75	0	6	0.6	0.0351443680097338	0.6	1.47476459850308	0.544585398713373	1	15	9				
SingleM truecov	sample5	phylum	0.00761248557227291	1	0.888888888888889	0	1	0.8	0.0152249711445458	0.8	0.136936746163406	0.0850835842162459	1	5	4				
sylph	sample4	phylum	0.00236295493067475	1	1	0	0	1	0.0047259098613495	1	1.45367715908123	0.6615969865236	1	9	9				
sylph	sample5	phylum	0.000734090170751989	1	1	0	0	1	0.00146818034150398	1	0.159520126774582	0.115069447909834	1	4	4				
SingleM	sample4	class	0.0103103474521445	1	1	0	0	1	0.0205608363215513	1	1.43063076801305	0.65110812193238	0.994194319540099	9	9				
SingleM	sample5	class	0.00094097965759917	1	1	0	0	1	0.00188136815146424	1	0.153960701869792	0.0956611626210191	0.999371757158273	5	5				
SingleM dev	sample4	class	0.12432502764947	0.666666666666667	0.8	3	0	0.666666666666667	0.221154958916792	1	0.976799324853636	0.545162083208898	0.778845041083208	6	6				
SingleM dev	sample5	class	0.00771441424359705	0.6	0.75	2	0	0.6	0.0153107152871036	1	0.121144377070415	0.110270364094764	0.984689284712896	3	3				
SingleM inject	sample4	class	0.0103103474521444	1	1	0	0	1	0.0205608363215512	1	1.43063076801305	0.65110812193238	0.994194319540099	9	9				
SingleM inject	sample5	class	0.00117719197281681	1	1	0	0	1	0.00235438394563361	1	0.154149113117795	0.0957782291114672	1	5	5				
SingleM joint	sample4	class	0.0169287434480805	1	0.692307692307692	0	8	0.529411764705882	0.033857486896161	0.529411764705882	1.47449363181784	0.520431556949699	1	17	9				
SingleM joint	sample5	class	0.196380306043584	0.6	0.6	2	2	0.428571428571429	0.392760612087169	0.6	0.760806492020409	0.472715651932028	1	5	3				
SingleM nnls	sample4	class	0.0210749382888548	1	0.692307692307692	0	8	0.529411764705882	0.0421498765777096	0.529411764705882	1.48824114681197	0.525283826554799	1	17	9				
SingleM nnls	sample5	class	0.0680709112263943	1	0.909090909090909	0	1	0.833333333333333	0.136141822452789	0.833333333333333	0.375391314758301	0.209509881881652	1	6	5				
SingleM truecov	sample4	class	0.0175721840048669	1	0.692307692307692	0	8	0.529411764705882	0.0351443680097338	0.529411764705882	1.4761527089338	0.52101713837774	1	17	9				
SingleM truecov	sample5	class	0.00761248557227291	1	0.833333333333333	0	2	0.714285714285714	0.0152249711445458	0.714285714285714	0.139572957228894	0.0717263113595728	1	7	5				
sylph	sample4	class	0.00236295493067475	1	1	0	0	1	0.0047259098613495	1	1.45367715908123	0.6615969865236	1	9	9				
sylph	sample5	class	0.000734185595737057	1	1	0	0	1	0.00146837119147411	1	0.161686283553491	0.100461336410895	1	5	5				
SingleM	sample4	order	0.0336125553629886	1	1	0	0	1	0.0662340865539681	1	2.02635082766353	0.676412523759863	0.970516250213444	20	20				
SingleM	sample5	order	0.00137348970168808	0.857142857142857	0.923076923076923	1	0	0.857142857142857	0.00274600485082282	1	0.41178460307359	0.229821362825558	0.999290455143461	6	6				
SingleM dev	sample4	order	0.257512915666157	0.45	0.620689655172414	11	0	0.45	0.409559078810323	1	0.849767813050227	0.386745998481609	0.590440921189677	9	9				
SingleM dev	sample5	order	0.0180930381054332	0.571428571428571	0.727272727272727	3	0	0.571428571428571	0.0355429954399894	1	0.36018445992642	0.259818167070558	0.964457004560011	4	4				
SingleM inject	sample4	order	0.0336125553629886	1	1	0	0	1	0.0662340865539682	1	2.02635082766353	0.676412523759863	0.970516250213444	20	20				
SingleM inject	sample5	order	0.00164967724634935	1	1	0	0	1	0.00329935449269871	1	0.412597889473351	0.212033371465613	1	7	7				
SingleM joint	sample4	order	0.0436109930585069	1	0.816326530612245	0	9	0.689655172413793	0.0872219861170138	0.689655172413793	2.09655259570501	0.62262203903642	1	29	20				
SingleM joint	sample5	order	0.196380306043584	0.571428571428571	0.615384615384615	3	2	0.444444444444444	0.392760612087169	0.666666666666667	0.98634953133444	0.550492154931593	1	6	4				
SingleM nnls	sample4	order	0.0433677984257837	1	0.816326530612245	0	9	0.689655172413793	0.0867355968515674	0.689655172413793	2.1170566647073	0.628711218614792	1	29	20				
SingleM nnls	sample5	order	0.725829702657572	1	0.933333333333333	0	1	0.875	1.45165940531514	0.875	0.832499669108966	0.400347714721736	1	8	7				
SingleM truecov	sample4	order	0.0433665590341149	1	0.816326530612245	0	9	0.689655172413793	0.0867331180682297	0.689655172413793	2.09934901743332	0.623452504154278	1	29	20				
SingleM truecov	sample5	order	0.0166217802571366	1	0.875	0	2	0.777777777777778	0.0332435605142732	0.777777777777778	0.436074145896002	0.198465896656168	1	9	7				
sylph	sample4	order	0.00414495316903013	1	1	0	0	1	0.00828990633806025	1	2.06602317248887	0.689655477803375	1	20	20				
sylph	sample5	order	0.00397183727983974	1	1	0	0	1	0.00794367455967949	1	0.429157222398762	0.22054318520673	1	7	7				
SingleM	sample4	family	0.0446972779230843	1	1	0	0	1	0.0875424516667615	1	2.13686224837526	0.67238075956105	0.958563378678354	24	24				
SingleM	sample5	family	0.001603133442445	0.714285714285714	0.833333333333333	2	0	0.714285714285714	0.0032042525706709	1	0.409333459925217	0.254333178535694	0.998743514316546	5	5				
SingleM dev	sample4	family	0.294047173343317	0.333333333333333	0.5	16	0	0.333333333333333	0.454461289202639	1	0.728607804161182	0.350386288605445	0.545538710797361	8	8				
SingleM dev	sample5	family	0.0180930381054332	0.571428571428571	0.727272727272727	3	0	0.571428571428571	0.0355429954399894	1	0.36018445992642	0.259818167070558	0.964457004560011	4	4				
SingleM inject	sample4	family	0.0446972779230844	1	1	0	0	1	0.0875424516667616	1	2.13686224837526	0.67238075956105	0.958563378678354	24	24				
SingleM inject	sample5	family	0.00177542063917597	1	1	0	0	1	0.00355039557483344	1	0.412190332367773	0.211823928544635	0.999748958917865	7	7				
SingleM joint	sample4	family	0.0524436889077773	1	0.842105263157895	0	9	0.727272727272727	0.104887377815555	0.727272727272727	2.24332451554002	0.641590065545043	1	33	24				
SingleM joint	sample5	family	0.196380306043584	0.571428571428571	0.571428571428571	3	3	0.4	0.392760612087169	0.571428571428571	1.00378859694153	0.515845296057911	1	7	4				
SingleM nnls	sample4	family	0.0521307810535141	1	0.842105263157895	0	9	0.727272727272727	0.104261562107028	0.727272727272727	2.26145932381699	0.646776614682481	1	33	24				
SingleM nnls	sample5	family	0.725829702657572	1	0.875	0	2	0.777777777777778	1.45165940531514	0.777777777777778	0.833214431618983	0.379212229925592	1	9	7				
SingleM truecov	sample4	family	0.0521105339510506	1	0.842105263157895	0	9	0.727272727272727	0.104221067902101	0.727272727272727	2.24663386811195	0.642536539280264	1	33	24				
SingleM truecov	sample5	family	0.0166217802571366	1	0.823529411764706	0	3	0.7	0.0332435605142732	0.7	0.436294420544383	0.189480259327602	1	10	7				
sylph	sample4	family	0.00516772470618784	1	1	0	0	1	0.0103354494123757	1	2.22276269205297	0.699410019687934	1	24	24				
sylph	sample5	family	0.00397183727983974	1	1	0	0	1	0.00794367455967949	1	0.429157222398762	0.22054318520673	1	7	7				
SingleM	sample4	genus	0.0552593419943957	1	1	0	0	1	0.107008556738194	1	2.17637095441386	0.667988480088282	0.936479025556378	26	26				
SingleM	sample5	genus	0.00174833950970549	0.714285714285714	0.833333333333333	2	0	0.714285714285714	0.00349250516863984	1	0.407874012670216	0.253426372971015	0.997612677201437	5	5				
SingleM dev	sample4	genus	0.312473894057338	0.230769230769231	0.375	20	0	0.230769230769231	0.476160166647379	1	0.635760398731333	0.354824634472415	0.523839833352621	6	6				
SingleM dev	sample5	genus	0.0180930381054332	0.571428571428571	0.727272727272727	3	0	0.571428571428571	0.0355429954399894	1	0.36018445992642	0.259818167070558	0.964457004560011	4	4				
SingleM inject	sample4	genus	0.0467065111758989	1	1	0	0	1	0.0911852315631699	1	2.17241206498056	0.666773387353275	0.952302350731402	26	26				
SingleM inject	sample5	genus	0.00213063128392766	1	1	0	0	1	0.00425921745380211	1	0.41035647453376	0.210881512043594	0.999040137038896	7	7				
